AÑO,TV REG Y LOCAL,REVISTAS,PUB EXTERIOR,PRENSA,RADIO,TV NACIONAL,DIGITAL,TOTAL_INV,IPC,TRM Promedio,Penetración Internet (%),Poblacion DANE
1995,22969.6,32751.2,15280.985999999999,38202.465,25468.31,198962.4,0.0,333634.961,0.195,912.9,0.001,36229830.0
1996,22347.2,35404.7,17219.7,43049.25,28699.5,229243.1,0.0,375963.44999999995,0.216,1002.94,0.003,36830574.0
1997,22268.0,40055.5,20909.537999999997,52273.844999999994,34849.23,286168.8,0.0,456524.913,0.177,1115.69,0.005,37426532.0
1998,27846.2,47905.3,36290.838,90727.095,224890.9,304204.9,0.0,731865.233,0.167,1402.92,0.012,38012359.0
1999,19016.6,46349.0,33923.814,84809.535,172073.2,327958.1,0.0,684130.249,0.092,1776.0,0.018,38585016.0
2000,24330.8,53527.7,38491.596,96228.98999999999,188868.2,374799.9,0.0,776247.186,0.088,2087.73,0.03,39140080.0
2001,22420.3,50546.1,40717.626,101794.06499999999,175153.2,430507.5,0.0,821138.791,0.077,2299.24,0.045,39674811.0
2002,30265.3,53648.0,43772.754,109431.885,192641.8,452990.7,0.0,882750.439,0.07,2361.07,0.058,40190679.0
2003,32552.0,61775.0,67773.42,307647.0,209554.0,518029.0,0.0,1197330.42,0.065,2877.19,0.072,40693254.0
2004,34035.0,70553.0,73949.34,320890.0,222096.0,584915.0,0.0,1306438.3399999999,0.055,2607.87,0.093,41188093.0
2005,36742.0,83440.0,84253.86,353131.0,257508.0,673410.0,0.0,1488484.8599999999,0.049,2320.08,0.121,41671878.0
2006,47228.0,105912.0,97507.8,414077.0,294505.0,763408.0,0.0,1722637.8,0.045,2358.38,0.15,42170126.0
2007,59306.0,118890.0,114868.56,526803.0,345592.0,863885.0,0.0,2029344.56,0.057,2000.06,0.184,42658630.0
2008,58633.0,108196.0,114903.84,496891.0,352518.0,858225.0,40601.0,2029967.8399999999,0.077,1969.95,0.226,43134017.0
2009,58794.0,93488.0,112219.56,478655.0,365762.0,823611.0,50016.0,1982545.56,0.02,2147.81,0.27,43608630.0
2010,65275.0,99876.0,128053.98,536026.0,419008.0,919366.0,94682.0,2262286.98,0.032,1897.74,0.325,44086292.0
2011,61702.0,109519.0,141637.32,599099.0,443469.0,1020467.0,126366.0,2502259.3200000003,0.037,1848.06,0.379,44553416.0
